Show,IMDB ID,Genre,Season,Episode,Title,Air Date,Year,Rating,Votes2,First_Season_Average,Last_season_average
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",4,22,The Wildebeest Implementation,2011-05-05,2011,7.7,4200.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",4,23,The Engagement Reaction,2011-05-12,2011,8.0,4300.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",4,24,The Roommate Transmogrification,2011-05-19,2011,8.5,4500.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",5,1,The Skank Reflex Analysis,2011-09-22,2011,8.0,4900.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",5,2,The Infestation Hypothesis,2011-09-22,2011,8.0,4400.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",5,3,The Pulled Groin Extrapolation,2011-09-29,2011,7.6,4300.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",5,4,The Wiggly Finger Catalyst,2011-10-06,2011,7.8,4300.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",5,5,The Russian Rocket Reaction,2011-10-13,2011,8.0,4300.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",5,6,The Rhinitis Revelation,2011-10-20,2011,7.5,4200.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",5,7,The Good Guy Fluctuation,2011-10-27,2011,8.5,5100.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",5,8,The Isolation Permutation,2011-11-03,2011,7.6,4200.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",5,9,The Ornithophobia Diffusion,2011-11-10,2011,8.1,4400.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",5,10,The Flaming Spittoon Acquisition,2011-11-17,2011,7.9,4200.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",5,11,The Speckerman Recurrence,2011-12-08,2011,7.3,4200.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",5,12,The Shiny Trinket Maneuver,2012-01-12,2012,7.6,4200.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",5,13,The Recombination Hypothesis,2012-01-19,2012,8.1,4400.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",5,14,The Beta Test Initiation,2012-01-26,2012,8.2,4400.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",5,15,The Friendship Contraction,2012-02-02,2012,7.7,4100.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",5,16,The Vacation Solution,2012-02-09,2012,7.5,4000.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",5,17,The Rothman Disintegration,2012-02-16,2012,7.7,4100.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",5,18,The Werewolf Transformation,2012-02-23,2012,8.2,4400.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",5,19,The Weekend Vortex,2012-03-08,2012,8.1,4200.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",5,20,The Transporter Malfunction,2012-03-29,2012,8.0,4300.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",5,21,The Hawking Excitation,2012-04-05,2012,8.5,4800.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",5,22,The Stag Convergence,2012-04-26,2012,7.7,4100.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",5,23,The Launch Acceleration,2012-05-03,2012,8.1,4100.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",5,24,The Countdown Reflection,2012-05-10,2012,8.5,4600.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",6,1,The Date Night Variable,2012-09-27,2012,7.6,5100.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",6,2,The Decoupling Fluctuation,2012-10-04,2012,7.6,4200.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",6,3,The Higgs Boson Observation,2012-10-11,2012,7.9,4200.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",6,4,The Re-Entry Minimization,2012-10-18,2012,8.2,4600.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",6,5,The Holographic Excitation,2012-10-25,2012,8.0,4200.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",6,6,The Extract Obliteration,2012-11-01,2012,7.8,4000.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",6,7,The Habitation Configuration,2012-11-08,2012,7.6,4000.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",6,8,The 43 Peculiarity,2012-11-15,2012,8.4,4600.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",6,9,The Parking Spot Escalation,2012-11-29,2012,8.2,4500.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",6,10,The Fish Guts Displacement,2012-12-06,2012,8.0,4300.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",6,11,The Santa Simulation,2012-12-13,2012,7.8,4100.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",6,12,The Egg Salad Equivalency,2013-01-03,2013,8.4,4600.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",6,13,The Bakersfield Expedition,2013-01-10,2013,8.4,4600.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",6,14,The Cooper/Kripke Inversion,2013-01-31,2013,7.7,4000.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",6,15,The Spoiler Alert Segmentation,2013-02-07,2013,8.2,4200.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",6,16,The Tangible Affection Proof,2013-02-14,2013,7.8,4100.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",6,17,The Monster Isolation,2013-02-21,2013,7.6,3900.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",6,18,The Contractual Obligation Implementation,2013-03-07,2013,7.7,4000.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",6,19,The Closet Reconfiguration,2013-03-14,2013,8.1,4300.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",6,20,The Tenure Turbulence,2013-04-04,2013,8.0,4100.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",6,21,The Closure Alternative,2013-04-25,2013,8.0,4100.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",6,22,The Proton Resurgence,2013-05-02,2013,7.9,4200.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",6,23,The Love Spell Potential,2013-05-09,2013,8.1,4200.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",6,24,The Bon Voyage Reaction,2013-05-16,2013,7.7,4000.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",7,1,The Hofstadter Insufficiency,2013-09-26,2013,7.7,4400.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",7,2,The Deception Verification,2013-09-26,2013,7.9,4400.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",7,3,The Scavenger Vortex,2013-10-03,2013,8.7,5400.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",7,4,The Raiders Minimization,2013-10-10,2013,7.8,4100.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",7,5,The Workplace Proximity,2013-10-17,2013,7.6,3900.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",7,6,The Romance Resonance,2013-10-24,2013,8.4,4600.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",7,7,The Proton Displacement,2013-11-07,2013,7.7,4000.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",7,8,The Itchy Brain Simulation,2013-11-14,2013,7.5,4000.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",7,9,The Thanksgiving Decoupling,2013-11-21,2013,8.8,5500.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",7,10,The Discovery Dissipation,2013-12-05,2013,7.6,3700.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",7,11,The Cooper Extraction,2013-12-12,2013,8.1,4200.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",7,12,The Hesitation Ramification,2014-01-02,2014,7.4,3800.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",7,13,The Occupation Recalibration,2014-01-09,2014,7.5,3800.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",7,14,The Convention Conundrum,2014-01-30,2014,8.0,4100.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",7,15,The Locomotive Manipulation,2014-02-06,2014,8.2,4300.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",7,16,The Table Polarization,2014-02-27,2014,7.6,3700.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",7,17,The Friendship Turbulence,2014-03-06,2014,7.4,3600.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",7,18,The Mommy Observation,2014-03-13,2014,7.4,3700.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",7,19,The Indecision Amalgamation,2014-04-03,2014,8.1,4000.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",7,20,The Relationship Diremption,2014-04-10,2014,8.0,3700.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",7,21,The Anything Can Happen Recurrence,2014-04-24,2014,7.5,3600.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",7,22,The Proton Transmogrification,2014-05-01,2014,7.7,3800.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",7,23,The Gorilla Dissolution,2014-05-08,2014,7.8,3700.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",7,24,The Status Quo Combustion,2014-05-15,2014,8.0,3800.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",8,1,The Locomotion Interruption,2014-09-22,2014,7.2,4300.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",8,2,The Junior Professor Solution,2014-09-22,2014,7.5,4100.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",8,3,The First Pitch Insufficiency,2014-09-29,2014,7.0,4000.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",8,4,The Hook-up Reverberation,2014-10-06,2014,7.2,3800.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",8,5,The Focus Attenuation,2014-10-13,2014,7.5,3900.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",8,6,The Expedition Approximation,2014-10-20,2014,7.2,3700.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",8,7,The Misinterpretation Agitation,2014-10-30,2014,7.7,4100.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",8,8,The Prom Equivalency,2014-11-06,2014,8.0,4100.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",8,9,The Septum Deviation,2014-11-13,2014,7.5,3700.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",8,10,The Champagne Reflection,2014-11-20,2014,7.0,3700.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",8,11,The Clean Room Infiltration,2014-12-11,2014,7.4,3600.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",8,12,The Space Probe Disintegration,2015-01-08,2015,7.2,3500.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",8,13,The Anxiety Optimization,2015-01-29,2015,7.4,3500.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",8,14,The Troll Manifestation,2015-02-05,2015,8.0,3800.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",8,15,The Comic Book Store Regeneration,2015-02-19,2015,8.1,3900.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",8,16,The Intimacy Acceleration,2015-02-26,2015,7.8,3700.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",8,17,The Colonization Application,2015-03-05,2015,7.5,3500.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",8,18,The Leftover Thermalization,2015-03-12,2015,7.3,3500.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",8,19,The Skywalker Incursion,2015-04-02,2015,7.5,3500.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",8,20,The Fortification Implementation,2015-04-09,2015,7.5,3400.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",8,21,The Communication Deterioration,2015-04-16,2015,7.0,3400.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",8,22,The Graduation Transmission,2015-04-23,2015,7.3,3400.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",8,23,The Maternal Combustion,2015-04-30,2015,7.5,3500.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",8,24,The Commitment Determination,2015-05-07,2015,7.9,3900.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",9,1,The Matrimonial Momentum,2015-09-21,2015,6.8,4300.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",9,2,The Separation Oscillation,2015-09-28,2015,7.3,3700.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",9,3,The Bachelor Party Corrosion,2015-10-05,2015,7.7,3800.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",9,4,The 2003 Approximation,2015-10-12,2015,7.4,3600.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",9,5,The Perspiration Implementation,2015-10-19,2015,7.4,3500.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",9,6,The Helium Insufficiency,2015-10-26,2015,7.2,3600.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",9,7,The Spock Resonance,2015-11-05,2015,7.9,3700.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",9,8,The Mystery Date Observation,2015-11-12,2015,7.9,3700.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",9,9,The Platonic Permutation,2015-11-19,2015,7.7,3700.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",9,10,The Earworm Reverberation,2015-12-10,2015,8.3,4200.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",9,11,The Opening Night Excitation,2015-12-17,2015,9.0,6000.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",9,12,The Sales Call Sublimation,2016-01-07,2016,7.4,3300.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",9,13,The Empathy Optimization,2016-01-14,2016,7.4,3400.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",9,14,The Meemaw Materialization,2016-02-04,2016,7.5,3400.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",9,15,The Valentino Submergence,2016-02-11,2016,7.5,3300.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",9,16,The Positive Negative Reaction,2016-02-18,2016,7.4,3500.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",9,17,The Celebration Experimentation,2016-02-25,2016,7.6,3500.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",9,18,The Application Deterioration,2016-03-10,2016,7.5,3300.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",9,19,The Solder Excursion Diversion,2016-03-31,2016,7.4,3200.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",9,20,The Big Bear Precipitation,2016-04-07,2016,7.4,3200.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",9,21,The Viewing Party Combustion,2016-04-21,2016,7.4,3200.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",9,22,The Fermentation Bifurcation,2016-04-28,2016,7.4,3100.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",9,23,The Line Substitution Solution,2016-05-05,2016,7.4,3100.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",9,24,The Convergence Convergence,2016-05-12,2016,7.8,3500.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",10,1,The Conjugal Conjecture,2016-09-19,2016,7.8,4100.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",10,2,The Military Miniaturization,2016-09-26,2016,7.3,3300.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",10,3,The Dependence Transcendence,2016-10-03,2016,7.2,3200.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",10,4,The Cohabitation Experimentation,2016-10-10,2016,7.9,3500.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",10,5,The Hot Tub Contamination,2016-10-17,2016,7.4,3200.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",10,6,The Fetal Kick Catalyst,2016-10-27,2016,7.4,3200.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",10,7,The Veracity Elasticity,2016-11-03,2016,7.9,3400.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",10,8,The Brain Bowl Incubation,2016-11-10,2016,8.0,3600.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",10,9,The Geology Elevation,2016-11-17,2016,7.4,3100.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",10,10,The Property Division Collision,2016-12-01,2016,7.3,3100.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",10,11,The Birthday Synchronicity,2016-12-15,2016,7.6,3200.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",10,12,The Holiday Summation,2017-01-05,2017,7.3,3200.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",10,13,The Romance Recalibration,2017-01-19,2017,6.9,3100.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",10,14,The Emotion Detection Automation,2017-02-02,2017,7.2,3000.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",10,15,The Locomotion Reverberation,2017-02-09,2017,7.3,3000.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",10,16,The Allowance Evaporation,2017-02-16,2017,7.1,2900.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",10,17,The Comic-Con Conundrum,2017-02-23,2017,7.4,3000.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",10,18,The Escape Hatch Identification,2017-03-09,2017,7.1,2900.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",10,19,The Collaboration Fluctuation,2017-03-30,2017,7.1,3000.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",10,20,The Recollection Dissipation,2017-04-06,2017,7.2,2900.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",10,21,The Separation Agitation,2017-04-13,2017,7.2,3000.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",10,22,The Cognition Regeneration,2017-04-27,2017,6.8,2900.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",10,23,The Gyroscopic Collapse,2017-05-04,2017,7.1,2900.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",10,24,The Long Distance Dissonance,2017-05-11,2017,8.6,4000.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",11,1,The Proposal Proposal,2017-09-25,2017,7.5,3500.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",11,2,The Retraction Reaction,2017-10-02,2017,7.2,3200.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",11,3,The Relaxation Integration,2017-10-09,2017,7.0,3000.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",11,4,The Explosion Implosion,2017-10-16,2017,7.1,3000.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",11,5,The Collaboration Contamination,2017-10-23,2017,7.3,3000.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",11,6,The Proton Regeneration,2017-11-02,2017,7.2,2900.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",11,7,The Geology Methodology,2017-11-09,2017,7.4,3000.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",11,8,The Tesla Recoil,2017-11-16,2017,7.1,2900.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",11,9,The Bitcoin Entanglement,2017-11-30,2017,7.7,3100.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",11,10,The Confidence Erosion,2017-12-07,2017,7.3,2900.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",11,11,The Celebration Reverberation,2017-12-14,2017,7.1,2800.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",11,12,The Matrimonial Metric,2018-01-04,2018,7.5,2900.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",11,13,The Solo Oscillation,2018-01-11,2018,7.2,2900.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",11,14,The Separation Triangulation,2018-01-18,2018,7.2,2900.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",11,15,The Novelization Correlation,2018-02-01,2018,7.5,2800.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",11,16,The Neonatal Nomenclature,2018-03-01,2018,7.1,2800.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",11,17,The Athenaeum Allocation,2018-03-08,2018,6.8,2800.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",11,18,The Gates Excitation,2018-03-29,2018,7.1,2800.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",11,19,The Tenant Disassociation,2018-04-05,2018,7.2,2800.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",11,20,The Reclusive Potential,2018-04-12,2018,7.2,2800.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",11,21,The Comet Polarization,2018-04-19,2018,7.4,2800.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",11,22,The Monetary Insufficiency,2018-04-26,2018,7.2,2700.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",11,23,The Sibling Realignment,2018-05-03,2018,7.7,2900.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",11,24,The Bow Tie Asymmetry,2018-05-10,2018,9.0,4900.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",12,1,The Conjugal Configuration,2018-09-24,2018,7.2,3300.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",12,2,The Wedding Gift Wormhole,2018-09-27,2018,7.6,3100.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",12,3,The Procreation Calculation,2018-10-04,2018,7.2,3000.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",12,4,The Tam Turbulence,2018-10-11,2018,7.0,2900.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",12,5,The Planetarium Collision,2018-10-18,2018,6.8,2900.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",12,6,The Imitation Perturbation,2018-10-25,2018,8.2,3500.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",12,7,The Grant Allocation Derivation,2018-11-01,2018,7.3,2900.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",12,8,The Consummation Deviation,2018-11-08,2018,7.3,2900.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",12,9,The Citation Negation,2018-11-15,2018,7.2,2900.0,8.1,7.5
The Big Bang Theory,tt0898266,"Sitcom, Comedy, Romance",12,10,The VCR Illumination,2018-12-06,2018,7.5,3000.0,8.1,7.5
